Namibia Football Association,Namibia Football Association,Robert Joel Shimooshili,Cassius Tarsisius Moetie (Interim),"Phone: +264 61 265 691, Email: info@nfa.org.na, Website: https://nfa.org.na/, Address: Football House, ERF 339, Richard Kamuhuka Street, Katutura, Windhoek, Namibia","Facebook: https://www.facebook.com/namibiafootballassociation/, Instagram: https://www.instagram.com/namibiafootballassociation/, X (Twitter): https://x.com/Official_NFA, YouTube: https://www.youtube.com/@namibiafootballassociation","The Brave Warriors (men's national team) achieved a historic milestone by securing their first-ever victory at the Africa Cup of Nations (AFCON) in January 2024, defeating Tunisia 1-0. The NFA also announced a clean audit and the launch of the FIFA Talent Development Scheme in November 2025. The FNB Women’s Super League received a N$9.3 million sponsorship from FNB Namibia. The NFA also hosted the FIFA Elite Youth Goalkeeping Course in December 2025.","The Namibia Football Association (NFA) is the governing body of football in Namibia, affiliated with FIFA and CAF. The association is currently led by President Robert Joel Shimooshili and Interim General Secretary Cassius Tarsisius Moetie. Key programs include the FNB Women's Super League and the newly launched FIFA Talent Development Scheme. The NFA has recently focused on governance, including a clean audit and the adoption of new statutes.",
Namibia Netball Federation,Netball Namibia,Juanitha Witbeen,Sofia Simon,"Phone: Not Available (General), Email: info@netballnamibia.com, Website: https://netballnamibia.com/, Address: Windhoek, Namibia (General location)","Facebook: https://www.facebook.com/p/Namibian-Netball-Association-100045540826585/, Instagram: https://www.instagram.com/netballnamibia/, Twitter: Not Available, YouTube: Not Available, Whatsapp: Not Available","Won the inaugural Dubai Holding Community Management UAE Netball Cup 2025. The national team, 'Debmarine Desert Jewels', participated in the Africa Netball Cup 2025 and Celtic Cup 2025. The MTC Namibia Netball Premier League 2025-2026 season was launched with a N$2.9 million sponsorship.","The national governing body for netball in Namibia, responsible for development and elite competition. The leadership was recently updated in May 2025 (President Juanitha Witbeen) and October 2024 (Secretary General Sofia Simon). The federation runs the MTC Namibia Netball Premier League and manages the national team, the 'Debmarine Desert Jewels'.",
Namibia Rugby Union,Namibia Rugby Union,Petrie Theron,Not Available,"Phone: +264 83 330 1981 (from official website), +264 832517750 (from World Rugby), Email: info@nru.com.na, operations@nru.com.na, media@nru.com.na, ceo@nru.com.na, Website: https://nru.com.na/, Address: Hage Geingob Stadium, Lichtenstein Street, Olympia, PO Box 138, Windhoek, Namibia","Facebook: https://www.facebook.com/NamibiaRugby/, Instagram: https://www.instagram.com/officialnamibiarugby/, X (Twitter): https://x.com/RugbyNamibia","The Namibia U20 national team won the Barthés Trophy in April 2025, securing the title after going unbeaten in the tournament. The NRU also announced a joint venture with the UXI Group to establish the Namibia Rugby Institute, with a planned kick-off in 2026. The national team, the Welwitschias, is preparing for the Final Qualification Tournament for the Rugby World Cup 2027.","The Namibia Rugby Union (NRU) is the governing body for rugby in Namibia and a full member of World Rugby. It is actively involved in grassroots development (Get Into Rugby), national competitions, and preparing the national team (Welwitschias) for international qualification. The union is headquartered at the Hage Geingob Stadium in Windhoek.",
Namibia Cricket Association,Namibia Cricket Association,Dr. Rudie van Vuuren,Not Available,"Phone: +264 61 223 818, Email: highperformance@cricketnamibia.com, Website: https://cricketnamibia.com/, Address: Namibia Cricket Ground, Cricket Street, Olympia, Windhoek, Namibia","Facebook: https://www.facebook.com/CricketNamibia/, Twitter: https://x.com/CricketNamibia1, Instagram: https://www.instagram.com/official_cricketnamibia/, YouTube: https://www.youtube.com/channel/UCtQjXG3rS5XmFfX-4mOA-MQ",Appointment of Gary Kirsten as a consultant for the national men's team (Dec 2025); FNB Eagles (Men's National Team) stunned South Africa in a T20 international (Oct 2025); Capricorn Eagles (Women's National Team) scheduled to travel to Thailand for the ICC Women’s Emerging Nations Trophy 2025; Vice President Polly Negongo elected to the Africa Cricket Association (ACA) Board (July 2025).,"The official governing body for cricket in Namibia, an Associate Member of the ICC since 1992, known commercially as Cricket Namibia. The organization is administratively led by CEO Johan Muller. President Dr. Rudie van Vuuren is a a notable figure, having represented Namibia at both the Cricket and Rugby Union World Cups in 2003.",
Namibia Hockey Union,Namibia Hockey Union,Carin Slabbert,Not Available,"Phone: +264 61 25438, Mobile: +264 81 166 2875, Email: info@namibiahockey.org, Website: https://namibiahockey.org/, Address: PO Box 25799, Post Street Mall Windhoek, Namibia 9000","Facebook: https://www.facebook.com/NamibiaHockey/, Instagram: https://www.instagram.com/namibiahockeyunion/, X: https://x.com/NamibiaHockey",The women's junior team made a historic debut at the FIH Hockey Women's Junior World Cup in Santiago 2025. The senior men's squad secured their first victory of the 2025 FIH Indoor Hockey World Cup campaign. Carin Slabbert was appointed as the new NHU president in December 2024.,The national governing body for field and indoor hockey in Namibia. Carin Slabbert is the first woman to be elected as president. The position of General Secretary is currently listed as vacant on the official website.,
Namibia Swimming Federation,Namibia Aquatic Sports Federation,Riaan Steyn,Agata Mason,"Phone: Not Available, Email: secgen@swimmingnamibia.com, Website: https://swimmingnamibia.com/, Address: P.O. Box 2917, WINDHOEK, Namibia","Facebook: https://www.facebook.com/Namibia.Aquatic.Sports.Federation/, Instagram: https://www.instagram.com/nasfednamibia/, YouTube: https://www.youtube.com/watch?v=TlYCCpbyGu4 (News Coverage)","In December 2025, the Junior Swimmers team finished 4th overall at the 4th African Youth Games in Luanda, securing 1 Gold, 6 Silver, and 7 Bronze medals (Total 14 medals). The federation also hosted the Namibia National Open Water Swimming Championships 2025 and received multiple nominations for the 2025 Namibia Annual Sports Awards, including Federation of the Year.","The Namibia Aquatic Sports Federation (NASFED) is the national governing body for aquatic sports, including swimming and open water swimming, with plans to add diving. It is affiliated with World Aquatics and Africa Aquatics. The federation is actively involved in national and international competitions and development programs.",
Namibia Tennis Association,Namibia Tennis Association,Samson Kaulinge,Alex Clive Gawanab,"Phone: +264 61 244495, Email: nta@iway.na, Website: https://tennisnamibia.sportyhq.com/, Address: PO Box 479, 9000 WINDHOEK, NAMIBIA","Facebook: https://www.facebook.com/tennisnamibia/, Instagram: https://www.instagram.com/tennisnamibia/",The NTA has been active in hosting international and national tournaments. Recent activities include: hosting the Davis Cup World Group 2 tie against Hong Kong in January 2025; hosting the 2024 International Tennis Federation / Confederation of African Tennis (ITF/CAT) U18 Junior Tournaments; and the NTA U/14 CAT Circuit. Notable programs include the junior tennis development initiatives.,"The Namibia Tennis Association (NTA) is the official governing body for tennis in Namibia, actively promoting the sport through junior development and hosting international events like the Davis Cup and ITF/CAT junior tournaments.",
Namibia Volleyball Federation,Namibia Volleyball Federation,Tobias Mwatelulo,Festus Hamukwaya,"Phone: +264 061 255 253, Email: info@namibiavolleyball.org, Website: https://www.namibiavolleyball.org/, Address: P.O. Box 3671, 344 Independence Ave - Windhoek Namibia","Facebook: https://www.facebook.com/namibiavolleyball/, Instagram: https://www.instagram.com/namibiavolleyballfederation/?hl=en, Twitter: https://x.com/namibianvolley1?lang=ar",Signed a N$3 million sponsorship agreement with MTC in January 2024; successfully introduced the National Volleyball League (NVL) in 2024; hosted the 2025 Bank Windhoek NVF Cup (won by NamPower and Blaze Aces) and the 2025 MTC Volleyball National League Finals.,"The Namibia Volleyball Federation (NVF) is the sole national body governing volleyball in Namibia. The federation is currently focused on grassroots development and has secured a major N$3 million sponsorship from MTC, leading to the successful introduction of the National Volleyball League (NVL) and other major tournaments.",
Namibia Basketball Federation,Namibian Basketball Federation,Nigel Mubita,Titus Mwahafa,"Phone: +264 (61) 2706556, Email: namibianbasketball@gmail.com, Website: http://namibianbasketball.com (currently under construction), Address: 5th Floor NDC Building Goethe Street 13391 Windhoek P.O. Box 6203, Windhoek","Facebook: https://www.facebook.com/namibianbasketball/, Instagram: https://www.instagram.com/nbf_basketball/","2024 was a landmark year for growth; Hosted the FIBA Women's Basketball League Africa qualifiers in November 2025; Launched the NBA2K26 Namibian National Qualifier; Secured N$330,000 sponsorship from FNB Namibia for the FIBA qualifiers; Built 2 new courts ahead of the second season of the FNB National League; Khomas Warriors clinched the FNB Basketball tournament title in May 2025.","The federation, which focuses on youth development, is actively operating and organizing national and international events. Its official website is currently under construction. It maintains a strong partnership with FNB Namibia for league and development funding.",
Namibia Boxing Federation,Namibia Boxing Federation,Jeremia Ndjembo,Petrus Kashango,"Phone: +264 81 255 6 777, +264 81 288 5831, Email: namibiaboxing_federation@yahoo.com, Website: Not Available, Address: P.O. Box 24120 Windhoek Namibia","Facebook: https://www.facebook.com/namibiaboxingfederation/, Instagram: https://www.instagram.com/namibia_boxing_fed/, Twitter: Not Available, YouTube: Not Available",Induction of a new executive committee in February 2025; Participation with six fighters in the 2025 Region 5 Youth Games boxing finals in July 2025; Hosted the National Boxing Championship 2024 in October 2024.,"The federation is the governing body for amateur boxing in Namibia, operating under a newly inducted executive committee (Feb 2025) with a focus on promoting the sport at the national and regional levels, as evidenced by the 2024 National Championship and 2025 Region 5 Youth Games participation.",
